Author,Work
Aristotle,"Nicomachean Ethics"
Aristotle,Poetics
Epictetus,"The Enchiridion"
Euclid,"The Thirteen Books of Euclid's Elements"
Hesiod,Theogony
Hesiod,"Works and Days"
Homer,Iliad
Homer,Odyssey
"New Testament","1 Corinthians"
"New Testament","1 John"
"New Testament","1 Peter"
"New Testament","1 Thessalonians"
"New Testament","1 Timothy"
"New Testament","2 Corinthians"
"New Testament","2 John"
"New Testament","2 Peter"
"New Testament","2 Thessalonians"
"New Testament","2 Timothy"
"New Testament","3 John"
"New Testament",Acts
"New Testament",Colossians
"New Testament",Ephesians
"New Testament",Galatians
"New Testament",Hebrews
"New Testament",James
"New Testament",John
"New Testament",Jude
"New Testament",Luke
"New Testament",Mark
"New Testament",Matthew
"New Testament",Philemon
"New Testament",Philippians
"New Testament",Revelation
"New Testament",Romans
"New Testament",Titus
"P. Vergilius Maro (Virgil)",Aeneid
Plato,Ion
Plato,Phaedo
Plutarch,Alexander
Pseudo-Plutarch,"Concerning music"
Xenophon,Anabasis
